"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 12:45:56 GMT 2023","Fri Mar 31 12:47:23 GMT 2023","87446","","Actualización de versión","","[AUT] Actualización | Actualizo a la última versión para comprobar que puedo seguir viendo la portada","","[AUT] Actualización | Actualizo a la última versión para comprobar que puedo seguir viendo la portada",""
"passed","Fri Mar 31 12:44:45 GMT 2023","Fri Mar 31 12:45:56 GMT 2023","70630","","Actualización de versión","","[AUT] Actualización | Instalo una aplicación obsoleta para obtener el mensaje de obsolescencia","","[AUT] Actualización | Instalo una aplicación obsoleta para obtener el mensaje de obsolescencia",""
